"US asociada","ID anterior","ID nuevo","cambió"
"US-01","TC-001","TC-001","no"
"US-01","TC-002","TC-002","no"
"US-01","TC-003","TC-003","no"
"US-01","TC-004","TC-004","no"
"US-01","TC-005","TC-005","no"
"US-02","TC-006","TC-006","no"
"US-02","TC-007","TC-007","no"
"US-02","TC-008","TC-008","no"
"US-02","TC-009","TC-009","no"
"US-02","TC-010","TC-010","no"
"US-02","TC-011","TC-011","no"
"US-02","TC-012","TC-012","no"
"US-03","TC-006","TC-013","sí"
"US-03","TC-007","TC-014","sí"
"US-03","TC-008","TC-015","sí"
"US-03","TC-009","TC-016","sí"
"US-05","TC-010","TC-017","sí"
"US-05","TC-011","TC-018","sí"
"US-05","TC-012","TC-019","sí"
"US-05","TC-013","TC-020","sí"
"US-07","TC-014","TC-021","sí"
"US-07","TC-015","TC-022","sí"
"US-07","TC-016","TC-023","sí"
"US-07","TC-017","TC-024","sí"
"US-07","TC-018","TC-025","sí"
"US-12","TC-019","TC-026","sí"
"US-12","TC-020","TC-027","sí"
"US-12","TC-021","TC-028","sí"
"US-12","TC-022","TC-029","sí"
"US-12","TC-023","TC-030","sí"
"US-12","TC-024","TC-031","sí"
"US-12","TC-025","TC-032","sí"
"US-13","TC-026","TC-033","sí"
"US-13","TC-027","TC-034","sí"
"US-13","TC-028","TC-035","sí"
"US-13","TC-029","TC-036","sí"
"US-13","TC-030","TC-037","sí"
"US-13","TC-031","TC-038","sí"
"US-14","TC-032","TC-039","sí"
"US-14","TC-033","TC-040","sí"
"US-14","TC-034","TC-041","sí"
"US-14","TC-035","TC-042","sí"
"US-14","TC-036","TC-043","sí"
"US-15","TC-037","TC-044","sí"
"US-15","TC-038","TC-045","sí"
"US-15","TC-039","TC-046","sí"
"US-15","TC-040","TC-047","sí"
"US-15","TC-041","TC-048","sí"
"US-15","TC-042","TC-049","sí"
"US-15","TC-043","TC-050","sí"
"US-20","TC-044","TC-051","sí"
"US-20","TC-045","TC-052","sí"
"US-20","TC-046","TC-053","sí"
"US-20","TC-047","TC-054","sí"
"US-20","TC-048","TC-055","sí"
"US-20","TC-049","TC-056","sí"
"US-20","TC-050","TC-057","sí"
"US-20","TC-051","TC-058","sí"
"US-29","TC-052","TC-059","sí"
"US-29","TC-053","TC-060","sí"
"US-29","TC-054","TC-061","sí"
"US-29","TC-055","TC-062","sí"
"US-30","TC-056","TC-063","sí"
"US-30","TC-057","TC-064","sí"
"US-30","TC-058","TC-065","sí"
"US-30","TC-059","TC-066","sí"
"US-30","TC-060","TC-067","sí"
"US-30","TC-061","TC-068","sí"
"US-30","TC-062","TC-069","sí"
"US-32","TC-063","TC-070","sí"
"US-32","TC-064","TC-071","sí"
"US-32","TC-065","TC-072","sí"
"US-32","TC-066","TC-073","sí"
"US-32","TC-067","TC-074","sí"
"US-32","TC-068","TC-075","sí"
"US-32","TC-069","TC-076","sí"
"US-38","TC-070","TC-077","sí"
"US-38","TC-071","TC-078","sí"
"US-38","TC-072","TC-079","sí"
"US-38","TC-073","TC-080","sí"
"US-38","TC-074","TC-081","sí"
"US-38","TC-075","TC-082","sí"
"US-38","TC-076","TC-083","sí"
"US-38","TC-077","TC-084","sí"
"US-39","TC-078","TC-085","sí"
"US-39","TC-079","TC-086","sí"
"US-39","TC-080","TC-087","sí"
"US-40","TC-081","TC-088","sí"
"US-40","TC-082","TC-089","sí"
"US-40","TC-083","TC-090","sí"
